Node1,Node2
"(357.0, 175.0)","(346.47746354396816, 183.8359920459567)"
"(59.0, 239.0)","(50.0, 256.0)"
"(59.0, 239.0)","(57.0, 228.0)"
"(73.0, 45.0)","(65.0, 30.0)"
"(297.0, 78.0)","(307.0, 69.0)"
"(450.0, 143.0)","(459.0, 154.0)"
"(450.0, 143.0)","(437.08285461776404, 146.77015024304018)"
"(172.0, 315.0)","(162.0, 309.0)"
"(270.0, 268.0)","(284.7010605391074, 263.115709235528)"
"(270.0, 268.0)","(272.34577993813525, 250.76042863455586)"
"(273.0, 225.0)","(261.0201060539108, 222.9610472823685)"
"(147.0, 316.0)","(136.0, 311.0)"
"(147.0, 316.0)","(136.0, 300.0)"
"(147.0, 316.0)","(162.0, 309.0)"
"(116.0, 47.0)","(104.0, 61.0)"
"(116.0, 47.0)","(108.0, 32.0)"
"(150.0, 0.0)","(157.0, 10.0)"
"(150.0, 0.0)","(141.0, 9.0)"
"(118.0, 17.0)","(108.0, 32.0)"
"(48.0, 130.0)","(58.0, 144.0)"
"(48.0, 130.0)","(32.0, 133.0)"
"(48.0, 130.0)","(50.0, 114.0)"
"(419.0, 19.0)","(409.0, 30.0)"
"(154.0, 83.0)","(169.0, 86.0)"
"(331.0, 233.0)","(320.0, 222.0)"
"(331.0, 233.0)","(327.94454264251, 248.7012152010605)"
"(169.0, 86.0)","(172.0, 101.0)"
"(169.0, 86.0)","(174.53314184710564, 69.5496464869642)"
"(57.0, 84.0)","(70.0, 72.0)"
"(128.0, 78.0)","(134.0, 66.0)"
"(128.0, 78.0)","(118.0, 77.0)"
"(220.0, 256.0)","(229.0, 265.0)"
"(220.0, 256.0)","(203.0, 264.0)"
"(220.0, 256.0)","(221.0, 238.0)"
"(42.0, 155.0)","(58.0, 144.0)"
"(42.0, 155.0)","(30.0, 150.0)"
"(383.0, 146.0)","(387.0, 160.0)"
"(383.0, 146.0)","(390.0, 129.0)"
"(162.0, 289.0)","(151.0, 281.0)"
"(162.0, 289.0)","(162.0, 309.0)"
"(193.0, 253.0)","(203.0, 264.0)"
"(193.0, 253.0)","(194.0, 235.0)"
"(106.0, 218.0)","(124.0, 223.0)"
"(106.0, 218.0)","(106.0, 203.0)"
"(427.0, 46.0)","(442.0, 37.0)"
"(427.0, 46.0)","(438.11246133451175, 61.31279275298277)"
"(58.0, 144.0)","(74.0, 155.0)"
"(58.0, 144.0)","(67.0, 145.0)"
"(42.0, 225.0)","(57.0, 228.0)"
"(42.0, 225.0)","(27.0, 232.0)"
"(42.0, 225.0)","(44.80269553689793, 211.635373398144)"
"(71.0, 15.0)","(65.0, 30.0)"
"(195.0, 43.0)","(182.0, 40.0)"
"(195.0, 43.0)","(200.27330976579762, 24.246950950066207)"
"(195.0, 43.0)","(200.27330976579762, 59.25357931948736)"
"(240.0, 293.0)","(230.0, 283.0)"
